//EXTRASUNNY
//Midnight
96 150 184  30 166 217  196 143 47  -1  0  0  0 102 255  0 0 0  -1  -1  -1  -1  1.2  1800  50  35 9 10  26 30 36  43 148 199 154  2.69  0.3  0.71  4.94  132 127 138  0 0 0  1  1  0.78  0.83  1  1.19  15.75  182.64  19.88  256  0  0  1  3.02  1.31  1.43  0  25  1.204  0.300172 0.460771 0.906863  0.476495 0.541781 0.607  0.6 0.6 0.6  0.361 0.31 0.31  1  2.726  1.19  -1  -1  0.333333 0.331699 0.331699  0.14  0.498  0.435  0.132  -1 0.01  15  0.66  0.325  -1  1.7  0.675  0.124  0  1.265  0.47549 0.47549 0.47549  0.063  0.886 0.799 0.799  0.624  2  0.32  0.18  0.029  24.962 25 26  0.114  1.057  -1  -1  0  0  1000  -1  -1  0  0  3.498  0.75  1  1  1  0.8  2  1  1
//5AM
128 153 186  93 153 199  255 195 84  -1  0  0  23 126 251  41 39 39  -1  -1  -1  -1  1.2  1800  54  35 9 10  26 30 36  53 128 160 168  2.28  0.25  0.69  1.23  124 118 134  0 0 0  1  1  0.85  0.83  1  1.35  15.79  174.12  16.93  256  0.03  0  1.265  3.105  1.535  2.275  2  25  1.08  0.336804 0.431358 0.872549  0.495381 0.506862 0.557  0.64 0.64 0.64  0.459 0.4 0.353  1  1.95  1.375  -1  -1  0.443 0.443 0.443  0.569  0.585  0.595  0.132  -1 0.01  14.5  0.667  0.33  -1  1.538  0.631  0.124  0  1.265  0.686 0.686 0.686  0.075  0.911765 0.679354 0.761381  0.55  1.647  0.484  0.165  0.024  24 25 26  0.095  0.882  -1  -1  0  0  1000  -1  -1  0  0  2.045  1  1  1  1  0.733  2  1  1
//6AM
160 209 254  239 206 53  255 217 175  -1  0  0  139 195 251  249 237 237  -1  -1  -1  -1  1  1800  73.97  113 115 113  106 105 102  3 44 56 239  0.24  0.01  0.6  1.55  117 101 86  0 0 0  1  1  0.71  0.82  1  1.17  16.01  131.49  2.19  254.89  0.17  71  7.79  1.69  3.25  5.35  12.5  26  0.464  0.0890283 0.343986 0.955882  1 0.679354 0.318627  1.04 0.718523 0.356862  0.958 0.844 0.57  1  1.95  1.11  -1  -1  0.478 0.478 0.478  0.2  0.621  0.65  0.132  -1 0.02  14  0.667  0.385  -1  0.09  0.408  0.124  0  1.265  0.794 0.793 0.793  0.138  1 0.749711 0.696078  0.177  1.733  0.006  0.674  0  24.029 25 26  0.002  0.005  -1  -1  0  0  1000  -1  -1  0  0  1.061  1.1  1  1  1  0.9  2  1  1
//7AM
166 212 255  42 119 250  237 164 95  -1  0  0  199 200 255  255 255 255  -1  -1  -1  -1  1  1800  73.03  119 120 120  105 105 105  11 46 59 239  0.14  0  0.61  2.88  120 108 108  0 0 0  1  1  0.71  0.82  1  1.18  15.99  127.95  1.46  255.92  0.17  77  17  4  4.5  12.75  13  29  0.46  0.205882 0.532872 1  0.906863 0.492656 0.124471  0.941176 0.636678 0  1 0.882 0.588  1  1.55  1.14  -1  -1  0.478 0.478 0.478  0.396  0  0.745  0.132  -1 0.035  13  0.667  0.66  -1  0.088  0.4  0.124  0  1.265  0.8 0.8 0.8  0.14  1 0.661765 0.661765  0.164  1.4  0  0.685  0  24 25 26  0  0  -1  -1  0  0  1000  -1  -1  0  0  1.05  1  1  1  1  0.6  2  1  1
//9AM
184 229 252  255 167 122  252 252 235  -1  0  0  82 134 217  255 255 255  -1  -1  -1  -1  1  1800  100  58 72 40  199 230 196  11 41 48 240  0.14  0.16  0.62  2.225  130 119 110  0 0 0  1  1  0.6  0.51  1  0.9  16  128  1.53  256  0.1  217  17  3.01  3.635  19.25  13  30  0.46  0.184352 0.399301 0.671569  0.902 0.663235 0.451  0.902 0.716294 0.451  0.651961 0.627666 0.533956  1  2.31  0.375  -1  -1  0.29 0.263797 0.23432  0.115  0  0.325  0.132  -1 0.01  16  0.667  0.425  -1  1.704  0.354  0.5  0  0.435  0.102 0.102 0.102  1.265  0.659 0.655 0.655  0  1.7  0  0.685  0  24 25 26  0  0  -1  -1  0.014  0.296  1000  -1  -1  0  0  1.395  0.8  1  1  1  0.7  2  1  1
//Midday
