#
# file: cargrp.dat
# description: For each type of ped (worker, clubber etc) we maintain a list of the cars they might drive.
# This list is used to pick cars in a very similar way we pick peds.
#
buccaneer, sanchez, manana, rancher, ruiner, marbella, virgo, bobber, uranus, stalion, moonbeam, merit, solair, vincent, bobcat,  # POPCYCLE_GROUP_HARLEM
comet, buccaneer, hakumai, sabre2, ingot, manana, fortune, vigero2, esperanto, lokus, minivan, blista, rancher, emperor2, pres, rebla, bobber,   # POPCYCLE_GROUP_BRONX
stratum, premier, blista, admiral, habanero, stalion, faction, pinnacle, pcj, merit, banshee, perennial, moonbeam, minivan, nrg900,    # POPCYCLE_GROUP_JERSEY 
banshee, comet, bobcat, emperor, coquette, hakumai, infernus, lokus, ruiner, sentinel, sultanrs, supergt, turismo, admiral,  # POPCYCLE_GROUP_UPTOWN
comet, hakumai, emperor, ingot, vincent, stratum, esperanto, marbella, lokus, premier, minivan, admiral, bobcat, sabre,  # POPCYCLE_GROUP_QUEENS
blista, intruder, sultan, washington, marbella, moonbeam, merit, solair, virgo, pcj, nrg900, bobber, stalion, sentinel, coquette, primo, marbella, rebla, pres,  # POPCYCLE_GROUP_BROOKLYN
fortune, uranus, vigero, primo, admiral, merit, stratum, bobcat, pinnacle, faggio, habanero, sentinel, steed, rebla, pcj, nrg900, pres, schafter, perennial, landstalker,   # POPCYCLE_GROUP_MIDTOWN
blista, sabre, emperor, washington, bobcat, sanchez, rancher, faggio, marbella, virgo, rebla, faction, stalion, primo, vigero2   # POPCYCLE_GROUP_BLACK_POOR
banshee, comet, blista, coquette, faggio, hakumai, infernus, lokus, ruiner, sentinel, sultanrs, supergt, turismo, admiral,  # POPCYCLE_GROUP_FASHION 
ruiner, sultan, premier, steed, vigero, rebla, faction, ingot, intruder, moonbeam, landstalker, vincent, admiral, merit, minivan, emperor, esperanto, stratum,  # POPCYCLE_GROUP_BOHEMIAN

banshee, comet, coquette, hakumai, emperor, infernus, lokus, ruiner, sentinel, sultanrs, supergt, turismo, admiral,  # POPCYCLE_GROUP_TRENDY

minivan, merit, marbella, manana, admiral, faction, comet, ingot, blista, bobber,  # POPCYCLE_GROUP_RUSSIAN
turismo, rancher, sentinel, schafter, ruiner, oracle, admiral, comet, coquette, banshee,  # POPCYCLE_GROUP_ITALIAN
bobcat, comet, vigero, bobber, blista, virgo, vincent, stalion, sabre, rancher, sentinel, ruiner, buccaneer, minivan, merit, manana, emperor, admiral, premier,  # POPCYCLE_GROUP_EASTERN_EUROPEAN
banshee, comet, blista, coquette, hakumai, faggio, infernus, lokus, ruiner, sentinel, sultanrs, supergt, turismo, admiral,  # POPCYCLE_GROUP_SHOPPING_RICH

bobcat, comet, vigero, blista, virgo, vincent, stalion, sabre, sanchez, ruiner, rancher, pres, merit, faction, rebla,    # POPCYCLE_GROUP_CHINESE_JAPANESE 
vigero, virgo, vincent, stalion, sabre, emperor, esperanto, rancher, merit, marbella, manana, admiral, faction, bobber,   # POPCYCLE_GROUP_SOUTH_AMERICAN
admiral, virgo, premier, vincent, sultan,  # POPCYCLE_GROUP_SHOPPING_AVERAGE
